source,filename,reason
data_uncleaned\2026-05-05\btc-updown-5m-1777803900.csv,btc-updown-5m-1777803900.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777804200.csv,btc-updown-5m-1777804200.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777815300.csv,btc-updown-5m-1777815300.csv,first elapsed too late: 228.15s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777815600.csv,btc-updown-5m-1777815600.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777815900.csv,btc-updown-5m-1777815900.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777827300.csv,btc-updown-5m-1777827300.csv,first elapsed too late: 106.10s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777838100.csv,btc-updown-5m-1777838100.csv,first elapsed too late: 240.80s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777838400.csv,btc-updown-5m-1777838400.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777839000.csv,btc-updown-5m-1777839000.csv,first elapsed too late: 187.98s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777839300.csv,btc-updown-5m-1777839300.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777839600.csv,btc-updown-5m-1777839600.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777839900.csv,btc-updown-5m-1777839900.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777840200.csv,btc-updown-5m-1777840200.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777840500.csv,btc-updown-5m-1777840500.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777840800.csv,btc-updown-5m-1777840800.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777841100.csv,btc-updown-5m-1777841100.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777841400.csv,btc-updown-5m-1777841400.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777841700.csv,btc-updown-5m-1777841700.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777849200.csv,btc-updown-5m-1777849200.csv,first elapsed too late: 98.15s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777877400.csv,btc-updown-5m-1777877400.csv,no data rows
data_uncleaned\2026-05-05\btc-updown-5m-1777912800.csv,btc-updown-5m-1777912800.csv,first elapsed too late: 236.88s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777913100.csv,btc-updown-5m-1777913100.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777913400.csv,btc-updown-5m-1777913400.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777913700.csv,btc-updown-5m-1777913700.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777914000.csv,btc-updown-5m-1777914000.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777914300.csv,btc-updown-5m-1777914300.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777914600.csv,btc-updown-5m-1777914600.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777914900.csv,btc-updown-5m-1777914900.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777915200.csv,btc-updown-5m-1777915200.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777915500.csv,btc-updown-5m-1777915500.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777915800.csv,btc-updown-5m-1777915800.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777916100.csv,btc-updown-5m-1777916100.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777916400.csv,btc-updown-5m-1777916400.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777923300.csv,btc-updown-5m-1777923300.csv,first elapsed too late: 213.16s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777923600.csv,btc-updown-5m-1777923600.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777925700.csv,btc-updown-5m-1777925700.csv,first elapsed too late: 226.00s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1777926000.csv,btc-updown-5m-1777926000.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777926300.csv,btc-updown-5m-1777926300.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777926600.csv,btc-updown-5m-1777926600.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777926900.csv,btc-updown-5m-1777926900.csv,missing valid BTC price or price_to_beat values for outcome inference
data_uncleaned\2026-05-05\btc-updown-5m-1777927200.csv,btc-updown-5m-1777927200.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777927500.csv,btc-updown-5m-1777927500.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777927800.csv,btc-updown-5m-1777927800.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1777928100.csv,btc-updown-5m-1777928100.csv,duplicate ready market filename already copied
data_uncleaned\2026-05-05\btc-updown-5m-1778024100.csv,btc-updown-5m-1778024100.csv,first elapsed too late: 225.45s > 15.00s
data_uncleaned\2026-05-05\btc-updown-5m-1778087700.csv,btc-updown-5m-1778087700.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778088000.csv,btc-updown-5m-1778088000.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778088300.csv,btc-updown-5m-1778088300.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778088600.csv,btc-updown-5m-1778088600.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778088900.csv,btc-updown-5m-1778088900.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778089200.csv,btc-updown-5m-1778089200.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778089500.csv,btc-updown-5m-1778089500.csv,"missing required columns: ['btc_binance', 'btc_chainlink', 'down_price', 'elapsed', 'price_to_beat', 'seconds_left', 'timestamp', 'unix_time']"
data_uncleaned\2026-05-06\btc-updown-5m-1778104800.csv,btc-updown-5m-1778104800.csv,first elapsed too late: 289.33s > 15.00s
